location,year,run,fuel,transmission,owner,mileage,engine,power,seats,brand,model
Mumbai,2010,72000,CNG,Manual,1,26.6,998.0,b'58.16',5.0,Maruti,196
Pune,2015,41000,Diesel,Manual,1,19.67,1582.0,b'58.16',5.0,Hyundai,56
Chennai,2011,46000,Petrol,Manual,1,18.2,1199.0,b'58.16',5.0,Honda,103
Chennai,2012,87000,Diesel,Manual,1,20.77,1248.0,b'58.16',7.0,Maruti,72
Coimbatore,2013,40670,Diesel,Automatic,2,15.2,1968.0,b'58.16',5.0,Audi,12
Hyderabad,2012,75000,LPG,Manual,1,21.1,814.0,b'58.16',5.0,Hyundai,64
Jaipur,2013,86999,Diesel,Manual,1,23.08,1461.0,b'58.16',5.0,Nissan,119
Mumbai,2016,36000,Diesel,Automatic,1,11.36,2755.0,b'58.16',8.0,Toyota,102
Pune,2013,64430,Diesel,Manual,1,20.54,1598.0,b'58.16',5.0,Volkswagen,188
Chennai,2012,65932,Diesel,Manual,2,22.3,1248.0,b'58.16',5.0,Tata,100
Kochi,2018,25692,Petrol,Manual,1,21.56,1462.0,b'58.16',5.0,Maruti,46
Kolkata,2012,60000,Petrol,Automatic,1,16.8,1497.0,b'58.16',5.0,Honda,47
Jaipur,2015,64424,Diesel,Manual,1,25.2,1248.0,b'58.16',5.0,Maruti,176
Delhi,2014,72000,Diesel,Automatic,1,12.7,2179.0,b'58.16',5.0,Land,153
Pune,2012,85000,Diesel,Automatic,2,0.0,2179.0,b'58.16',5.0,Land,153
Delhi,2014,110000,Diesel,Manual,1,13.5,2477.0,b'58.16',7.0,Mitsubishi,133
Kochi,2016,58950,Diesel,Manual,1,25.8,1498.0,b'58.16',5.0,Honda,20
Jaipur,2017,25000,Diesel,Manual,1,28.4,1248.0,b'58.16',5.0,Maruti,176
Kochi,2014,77469,Diesel,Manual,1,20.45,1461.0,b'58.16',5.0,Renault,60
Bangalore,2014,78500,Diesel,Automatic,1,14.84,2143.0,b'58.16',5.0,Mercedes-Benz,125
Kochi,2014,32982,Diesel,Automatic,1,22.69,1995.0,b'58.16',5.0,BMW,3
Bangalore,2015,55392,Diesel,Manual,2,23.65,1248.0,b'58.16',5.0,Maruti,154
Mumbai,2015,55985,Petrol,Automatic,1,13.53,1984.0,b'58.16',5.0,Audi,13
Kolkata,2010,45807,Petrol,Manual,1,18.5,1197.0,b'58.16',5.0,Hyundai,217
Kolkata,2010,33000,Petrol,Automatic,1,14.4,1598.0,b'58.16',5.0,Volkswagen,188
Mumbai,2012,51920,Petrol,Manual,1,16.8,1497.0,b'58.16',5.0,Honda,47
Hyderabad,2012,54000,Diesel,Manual,1,23.08,1461.0,b'58.16',5.0,Nissan,119
Hyderabad,2013,54000,Petrol,Manual,2,20.92,998.0,b'58.16',5.0,Maruti,19
Kochi,2018,37430,Petrol,Manual,1,17.5,1199.0,b'58.16',5.0,Honda,195
Mumbai,2007,262000,Diesel,Manual,4,12.8,2494.0,b'58.16',7.0,Toyota,102
Bangalore,2013,62000,Diesel,Manual,1,19.01,1461.0,b'58.16',5.0,Renault,60
Delhi,2012,87615,Petrol,Manual,1,14.53,1798.0,b'58.16',5.0,Toyota,54
Bangalore,2013,72000,Diesel,Automatic,2,11.18,2696.0,b'58.16',7.0,Mahindra,172
Kolkata,2010,35000,Diesel,Automatic,1,12.4,2698.0,b'58.16',5.0,Audi,13
Coimbatore,2014,55431,Petrol,Manual,2,16.09,1598.0,b'58.16',5.0,Volkswagen,188
Jaipur,2009,83816,Petrol,Manual,2,14.0,1061.0,b'58.16',5.0,Maruti,196
Kochi,2018,50075,Diesel,Manual,1,24.3,1248.0,b'58.16',5.0,Maruti,193
Delhi,2017,52000,Petrol,Manual,1,18.15,1198.0,b'58.16',5.0,Mahindra,106
Pune,2013,85000,Diesel,Automatic,1,11.74,2987.0,b'58.16',5.0,Mercedes-Benz,115
Chennai,2013,62000,Diesel,Manual,1,22.07,1199.0,b'58.16',5.0,Volkswagen,138
Delhi,2008,90000,Petrol,Manual,2,19.7,796.0,b'58.16',5.0,Maruti,19
Kochi,2014,19698,Petrol,Manual,1,25.4,624.0,b'58.16',4.0,Tata,124
Coimbatore,2017,22033,Diesel,Manual,1,25.32,1198.0,b'58.16',6.0,Mahindra,106
Kochi,2014,35487,Petrol,Manual,1,18.5,1197.0,b'58.16',5.0,Hyundai,217
Bangalore,2014,46374,Petrol,Automatic,1,14.62,1999.0,b'58.16',5.0,Hyundai,68
Mumbai,2016,52001,Petrol,Automatic,1,14.28,1798.0,b'58.16',5.0,Toyota,54
Ahmedabad,2008,58005,Diesel,Manual,2,14.9,1991.0,b'58.16',5.0,Hyundai,68
Bangalore,2012,70704,Petrol,Manual,1,11.25,2694.0,b'58.16',7.0,Toyota,102
Jaipur,2014,75000,Diesel,Manual,1,24.4,1120.0,b'58.16',5.0,Hyundai,209
Jaipur,2012,75800,Diesel,Manual,2,16.55,2498.0,b'58.16',6.0,Mahindra,182
Kochi,2015,13648,Diesel,Automatic,1,17.11,1968.0,b'58.16',5.0,Audi,12
Delhi,2014,52000,Diesel,Manual,1,22.9,1248.0,b'58.16',5.0,Maruti,176
Kolkata,2014,53000,Diesel,Manual,1,17.8,1248.0,b'58.16',5.0,Maruti,176
Delhi,2013,65650,Diesel,Manual,1,28.4,1248.0,b'58.16',5.0,Maruti,176
Chennai,2015,54000,Petrol,Manual,3,18.9,1197.0,b'58.16',5.0,Hyundai,95
Kolkata,2015,39000,Petrol,Manual,1,15.04,1598.0,b'58.16',5.0,Volkswagen,188
Kochi,2017,16542,Petrol,Manual,1,25.17,799.0,b'58.16',5.0,Renault,107
Kolkata,2010,32000,Petrol,Manual,1,20.36,1197.0,b'58.16',5.0,Hyundai,216
Hyderabad,2010,121812,Diesel,Automatic,1,13.29,1995.0,b'58.16',5.0,Nissan,197
Hyderabad,2010,39300,Petrol,Manual,1,18.2,998.0,b'58.16',5.0,Maruti,214
